,Experiment_context,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
85,Pure,SC,neg,SC neg,7,0.8932379349046015,7.018108869729653,0
86,Pure,SC,neg,SC neg,8,0.2962345679012343,5.587269770062622,0
87,Pure,SC,neg,SC neg,9,-1.5021156004489342,6.408016239640165,0
88,Pure,SC,neg,SC neg,10,-0.900970819304153,4.5819083618993295,0
89,Pure,SC,neg,SC neg,11,-3.6058193041526376,5.024185797829564,0
90,Combined,SC,neg,SC neg,-6,-3.745486111111111,3.5175817906430327,0
91,Combined,SC,neg,SC neg,-5,1.144381313131313,2.980634106421976,0
92,Combined,SC,neg,SC neg,-4,-0.3060921717171718,2.8716696294347397,0
93,Combined,SC,neg,SC neg,-3,0.107638888888889,2.624722949660495,0
94,Combined,SC,neg,SC neg,-2,-0.6446338383838384,3.0685037743215267,0
95,Combined,SC,neg,SC neg,-1,3.444191919191919,2.905023588934361,0
96,Combined,SC,neg,SC neg,0,52.14826388888889,4.037441783542635,0
97,Combined,SC,neg,SC neg,1,53.241729797979794,10.393976368515885,0
98,Combined,SC,neg,SC neg,2,34.80527146464647,14.202533636488733,0
99,Combined,SC,neg,SC neg,3,16.024779040404038,12.999046320295838,0
100,Combined,SC,neg,SC neg,4,8.61852904040404,6.850698689911799,0
101,Combined,SC,neg,SC neg,5,2.4614267676767674,4.579117198642376,0
102,Combined,SC,neg,SC neg,6,-0.2840277777777777,5.373370816275131,0
103,Combined,SC,neg,SC neg,7,1.7875631313131315,7.419720307234583,0
104,Combined,SC,neg,SC neg,8,1.0918244949494953,8.835958944342982,0
105,Combined,SC,neg,SC neg,9,-3.4641414141414146,8.052518781341321,0
106,Combined,SC,neg,SC neg,10,-6.3827967171717175,8.429989696755015,0
107,Combined,SC,neg,SC neg,11,-3.3582702020202024,7.192670497287073,0
108,Pure,SC,pos,SC pos,-6,-0.9018217893217896,3.082127053353598,0
109,Pure,SC,pos,SC pos,-5,-0.7833152958152961,2.2412686212685626,0
110,Pure,SC,pos,SC pos,-4,0.38299062049062,2.7702570180762183,0
111,Pure,SC,pos,SC pos,-3,-1.8971320346320348,3.1636607907188905,0
112,Pure,SC,pos,SC pos,-2,1.1004509379509375,1.9393509581550052,0
113,Pure,SC,pos,SC pos,-1,2.098827561327561,4.356199934112019,0
114,Pure,SC,pos,SC pos,0,-48.18818542568543,4.409393837704832,0
115,Pure,SC,pos,SC pos,1,-43.97801226551227,7.699759755313195,0
116,Pure,SC,pos,SC pos,2,-8.943308080808082,10.39989942081683,0
117,Pure,SC,pos,SC pos,3,8.49926046176046,11.202613584188569,0
118,Pure,SC,pos,SC pos,4,11.247745310245309,10.267161418543642,0
119,Pure,SC,pos,SC pos,5,11.253805916305916,7.451266344563538,0
120,Pure,SC,pos,SC pos,6,10.50398629148629,4.995582076735073,0
121,Pure,SC,pos,SC pos,7,10.184000721500722,4.557330851843214,0
122,Pure,SC,pos,SC pos,8,8.470472582972583,4.870484480895494,0
123,Pure,SC,pos,SC pos,9,9.732124819624818,4.190903853710132,0
124,Pure,SC,pos,SC pos,10,6.724476911976912,4.584873546611592,0
125,Pure,SC,pos,SC pos,11,5.711525974025974,6.951713350542118,0
126,Combined,SC,pos,SC pos,-6,-0.8312710437710437,1.8120231529295403,0
127,Combined,SC,pos,SC pos,-5,-0.05077861952861933,2.551021108642185,0
128,Combined,SC,pos,SC pos,-4,-0.07773569023569007,1.5504210305819763,0
129,Combined,SC,pos,SC pos,-3,0.9653198653198656,2.490838086942095,0
130,Combined,SC,pos,SC pos,-2,-0.36798190235690204,2.404364485314552,0
131,Combined,SC,pos,SC pos,-1,0.36244739057239084,2.296876084333542,0
132,Combined,SC,pos,SC pos,0,-49.97328493265993,2.839126937727267,0
133,Combined,SC,pos,SC pos,1,-42.71779250841751,8.662327679077597,0
134,Combined,SC,pos,SC pos,2,-23.12445286195286,13.547904806549994,0
135,Combined,SC,pos,SC pos,3,-5.762047558922559,11.549532788218423,0
136,Combined,SC,pos,SC pos,4,2.2018097643097647,11.49394083320083,0
137,Combined,SC,pos,SC pos,5,3.8686973905723914,10.14570769527402,0
138,Combined,SC,pos,SC pos,6,4.625199915824917,7.92519492570899,0
139,Combined,SC,pos,SC pos,7,5.34385521885522,9.089446744945729,0
140,Combined,SC,pos,SC pos,8,6.230408249158249,9.217509901668103,0
141,Combined,SC,pos,SC pos,9,8.70111531986532,8.206066635203833,0
142,Combined,SC,pos,SC pos,10,7.516361531986532,7.3514009348938965,0
143,Combined,SC,pos,SC pos,11,8.384417087542088,8.059262698059,0
