,Experiment_context,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
104,Combined,SC,neg,SC neg,8,10.630681818181818,15.691136363636364,0
105,Combined,SC,neg,SC neg,9,5.645833333333333,18.334166666666665,0
106,Combined,SC,neg,SC neg,10,6.717803030303029,3.9385606060606047,0
107,Combined,SC,neg,SC neg,11,10.274621212121211,11.39992424242424,0
108,Pure,SC,pos,SC pos,-6,-1.2924084595959597,2.1919130364415866,0
109,Pure,SC,pos,SC pos,-5,-0.36740845959595964,2.6542656556691466,0
110,Pure,SC,pos,SC pos,-4,1.2812657828282827,1.7983146262970064,0
111,Pure,SC,pos,SC pos,-3,0.5905460858585858,2.881062173525225,0
112,Pure,SC,pos,SC pos,-2,0.7100536616161617,2.310295816363437,0
113,Pure,SC,pos,SC pos,-1,-0.9220486111111114,2.47890031952113,0
114,Pure,SC,pos,SC pos,0,-20.383885732323233,2.505019714457272,0
115,Pure,SC,pos,SC pos,1,-19.60329861111111,4.861525876781572,1
116,Pure,SC,pos,SC pos,2,-20.02990845959596,3.4518247097661483,1
117,Pure,SC,pos,SC pos,3,-14.84799558080808,5.802122218088077,1
118,Pure,SC,pos,SC pos,4,-8.583885732323232,6.470480727089286,1
119,Pure,SC,pos,SC pos,5,-4.784643308080808,5.78547441083357,1
120,Pure,SC,pos,SC pos,6,-3.810779671717172,6.549326306910449,0
121,Pure,SC,pos,SC pos,7,-0.6906092171717173,6.401377605960622,0
122,Pure,SC,pos,SC pos,8,-3.638431186868687,5.7482722252880425,0
123,Pure,SC,pos,SC pos,9,-1.4747001262626265,6.639898761482255,0
124,Pure,SC,pos,SC pos,10,-0.8197758838383837,6.222503057229159,0
125,Pure,SC,pos,SC pos,11,-1.210116792929293,7.177201124156708,0
126,Combined,SC,pos,SC pos,-6,-4.742424242424242,9.324848484848482,0
127,Combined,SC,pos,SC pos,-5,-7.787878787878787,9.057575757575755,0
128,Combined,SC,pos,SC pos,-4,3.393939393939393,7.869696969696965,0
129,Combined,SC,pos,SC pos,-3,5.712121212121212,9.206060606060605,0
130,Combined,SC,pos,SC pos,-2,10.893939393939394,5.642424242424242,0
131,Combined,SC,pos,SC pos,-1,-7.469696969696969,4.335757575757575,0
132,Combined,SC,pos,SC pos,0,-45.65151515151515,15.264242424242411,0
133,Combined,SC,pos,SC pos,1,-70.06060606060606,19.39212121212122,1
134,Combined,SC,pos,SC pos,2,-59.1060606060606,42.46666666666666,1
135,Combined,SC,pos,SC pos,3,-52.33333333333333,59.839393939393936,1
136,Combined,SC,pos,SC pos,4,-38.515151515151516,40.061212121212115,1
137,Combined,SC,pos,SC pos,5,-25.696969696969695,23.490303030303025,1
138,Combined,SC,pos,SC pos,6,-5.424242424242424,1.0393939393939426,0
139,Combined,SC,pos,SC pos,7,-14.651515151515152,12.532121212121213,0
140,Combined,SC,pos,SC pos,8,-9.196969696969697,4.57333333333333,0
141,Combined,SC,pos,SC pos,9,-1.333333333333333,5.375151515151515,0
142,Combined,SC,pos,SC pos,10,4.212121212121213,10.898787878787877,0
143,Combined,SC,pos,SC pos,11,1.5757575757575761,15.175151515151514,0
