Trial,S000,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099
10,0,3,2,3,1,2,2,0,3,1,0,1,2,2,2,0,3,3,4,0,1,0,1,1,0,0,0,0,2,0,2,1,2,1,2,3,3,2,2,0,4,4,2,3,1,4,3,2,4,0,2,1,3,4,4,4,2,4,2,2,0,1,4,2,3,0,0,1,2,2,0,1,4,3,0,2,1,3,3,1,2,1,2,0,4,0,1,2,4,4,2,2,0,1,3,1,2,0,3,4
11,0,0,0,4,4,1,2,0,4,1,4,0,4,4,4,0,2,4,3,4,0,2,0,4,4,2,4,3,1,1,0,0,4,4,0,1,2,3,1,1,3,4,4,3,4,4,2,4,2,4,1,3,2,2,2,0,3,2,1,1,0,2,1,3,2,2,1,4,3,2,4,4,4,2,3,2,4,0,3,3,2,4,2,4,2,2,2,1,0,3,0,4,1,2,1,3,4,3,4,0
12,0,3,1,2,2,0,0,4,2,1,4,3,0,2,4,4,2,0,1,1,2,2,1,2,2,3,2,1,2,0,0,2,3,2,2,2,2,0,2,1,0,2,3,0,2,3,2,0,0,3,0,0,1,4,3,4,3,1,2,0,3,2,2,3,1,3,4,1,3,1,0,2,0,0,4,3,2,4,3,2,0,1,2,1,2,1,3,4,3,1,1,4,4,4,2,3,0,3,1,0
13,1,0,2,4,1,0,1,3,1,3,3,4,2,4,3,4,4,4,2,4,3,2,4,4,1,4,2,4,4,0,1,3,2,0,4,1,3,0,1,3,0,0,1,4,3,1,4,0,4,4,2,4,4,1,0,4,1,4,0,0,2,1,2,3,4,1,0,2,0,4,1,0,3,4,1,1,4,3,1,2,0,3,1,0,4,2,0,1,0,3,4,2,3,3,1,3,0,1,2,3
14,1,2,1,3,1,0,1,4,3,4,4,2,2,3,3,4,4,1,4,0,3,3,3,1,2,0,1,3,4,0,0,1,4,1,2,3,1,4,0,3,3,1,4,4,2,0,4,3,2,1,3,2,4,3,0,1,4,3,3,2,2,4,2,2,3,2,2,3,1,2,0,0,3,1,0,0,3,2,3,0,2,2,3,1,0,3,1,2,4,3,3,3,2,4,2,1,0,3,3,2
15,3,2,1,2,4,1,2,3,0,0,1,4,3,0,1,4,0,3,0,3,4,1,4,0,0,4,2,4,3,0,3,3,1,1,1,0,3,3,4,3,1,4,0,4,0,4,1,3,1,0,0,2,3,0,1,4,2,0,0,1,1,0,0,4,4,0,1,3,3,0,2,1,0,0,1,1,1,2,4,4,4,2,2,2,0,0,4,4,1,2,2,4,2,3,1,1,1,4,0,3
16,4,4,3,1,3,3,1,3,4,1,2,0,2,2,4,1,4,3,3,4,2,1,0,4,4,1,3,3,2,1,4,4,4,4,0,3,0,4,0,4,4,4,0,2,3,3,1,0,4,2,1,2,2,0,3,3,4,2,4,3,0,3,0,4,0,0,4,0,2,0,2,3,0,4,0,2,0,4,3,0,3,0,0,4,2,4,3,3,1,1,4,2,4,3,4,2,1,2,2,3
17,0,1,3,3,0,2,2,2,0,0,1,3,1,2,4,0,3,2,3,0,4,4,0,0,2,3,2,3,0,3,4,4,1,1,4,0,2,1,0,4,4,1,0,0,4,4,2,4,3,2,3,4,2,1,2,0,1,3,4,2,3,3,3,4,0,3,2,1,2,0,1,3,3,2,1,3,3,0,3,1,3,0,0,1,4,0,4,1,2,3,0,4,4,4,2,1,4,1,1,3
18,3,1,1,3,0,4,2,0,4,2,2,3,4,4,2,1,2,0,0,4,0,0,3,2,0,4,0,4,4,2,3,2,0,1,1,0,4,4,1,0,2,3,2,2,0,4,2,0,3,1,1,1,3,3,3,0,4,4,1,0,1,3,1,2,4,0,2,1,4,0,0,3,0,4,1,3,4,4,3,2,4,1,4,4,1,4,0,4,4,2,0,3,1,4,4,0,2,3,1,1
19,1,0,2,3,2,1,0,2,0,4,2,4,0,3,2,3,0,3,2,2,3,2,3,1,4,4,4,2,0,0,1,2,4,3,1,1,0,2,3,2,3,2,3,1,1,0,3,3,3,0,4,3,1,2,3,1,2,4,4,3,4,3,0,0,0,1,3,2,2,3,0,1,1,0,1,2,2,0,0,0,1,0,3,3,0,4,1,2,3,4,2,3,1,3,3,0,2,1,3,0
20,3,2,4,4,1,4,1,0,1,1,0,0,2,0,4,2,1,1,1,3,1,1,1,2,2,3,1,3,2,0,3,2,2,0,4,2,3,4,0,4,3,4,1,0,3,2,3,3,2,1,1,1,0,1,1,1,2,0,3,3,3,3,0,3,1,1,2,1,2,1,1,4,1,4,4,4,1,1,2,2,4,3,3,1,2,3,2,4,3,2,0,0,1,3,0,2,0,1,2,3
21,4,2,1,0,4,4,3,1,1,1,2,0,3,2,3,2,4,3,1,0,3,1,4,1,4,3,2,0,1,3,3,0,3,4,2,0,3,0,2,3,1,0,4,4,3,3,0,1,2,3,2,2,1,3,1,0,0,1,1,0,3,0,1,1,2,4,1,2,4,4,3,2,2,2,4,1,0,3,1,3,4,2,2,0,4,3,2,4,2,3,0,0,2,2,3,1,2,2,1,4
22,4,4,2,1,3,2,4,1,4,3,3,0,2,2,0,1,3,4,2,1,3,1,4,0,1,0,3,4,3,4,1,0,3,2,3,1,0,0,0,4,3,1,2,1,0,4,0,0,3,4,4,2,0,0,4,3,0,3,0,4,4,4,0,4,4,3,4,2,1,2,4,1,1,4,2,2,4,1,1,3,0,4,3,4,2,1,4,3,4,4,1,4,4,4,2,0,2,0,2,1
23,2,1,0,0,3,2,0,1,2,4,2,1,0,4,0,2,3,1,3,0,0,0,4,4,1,3,0,1,3,3,4,1,3,1,4,4,2,2,4,3,1,1,1,4,0,3,3,0,4,2,3,1,0,2,2,3,1,2,3,2,2,1,2,2,0,3,0,4,0,0,4,2,4,0,2,1,1,2,0,2,0,2,0,0,4,3,4,0,0,4,3,2,1,1,1,3,2,4,0,4
24,2,1,4,0,4,2,1,2,4,3,4,1,4,2,2,4,1,3,1,1,0,3,2,3,1,2,2,0,4,3,1,3,2,1,1,4,1,1,4,0,3,4,3,3,1,0,4,3,1,3,2,4,1,4,2,1,4,3,2,4,4,2,4,0,0,4,1,0,3,0,4,3,1,4,2,4,1,3,3,4,1,1,1,2,3,2,0,4,1,1,2,1,1,1,3,1,3,0,3,2
25,0,2,2,2,1,4,3,4,4,4,1,4,3,4,0,3,1,1,4,1,4,2,4,2,1,3,1,3,1,2,4,4,4,4,3,1,0,1,1,4,4,1,0,0,4,2,4,4,4,0,2,0,2,1,4,0,1,1,1,3,4,1,1,1,4,3,4,4,1,4,2,3,0,2,0,0,3,4,2,3,3,2,2,2,3,3,2,0,1,2,4,1,2,1,1,3,2,2,0,2
26,2,2,2,0,2,4,4,2,2,3,1,1,0,4,0,0,1,2,1,2,1,3,0,4,0,0,0,4,2,2,3,0,0,1,0,3,2,1,4,2,4,4,1,4,3,0,4,3,0,1,0,4,0,0,2,4,4,1,0,0,0,0,4,4,3,0,3,3,3,3,3,2,1,3,0,3,3,3,3,4,1,4,4,2,3,3,4,4,3,3,3,2,3,0,4,1,0,3,0,3
27,4,0,4,2,3,4,1,0,4,1,1,4,1,1,4,0,0,1,1,3,0,0,1,2,1,0,4,0,4,0,0,2,4,2,2,4,1,2,1,4,1,1,2,1,4,2,4,0,1,0,2,1,4,1,0,2,0,3,0,1,0,3,1,0,3,2,1,4,0,2,3,0,1,2,4,1,1,3,0,4,0,0,3,2,3,0,1,4,0,2,3,4,3,1,3,4,0,4,2,1
28,2,1,0,0,2,3,4,0,1,3,2,2,0,0,2,2,0,4,0,3,0,4,2,2,3,2,2,0,0,1,3,0,4,4,2,3,2,2,3,1,2,2,4,2,2,4,2,4,1,2,2,3,2,4,0,3,0,2,3,0,2,1,4,1,0,3,4,3,4,1,0,4,4,3,3,4,3,0,4,2,1,2,1,3,1,4,2,0,1,0,4,2,0,3,4,0,3,2,1,3
29,1,4,4,0,3,1,4,1,0,3,3,2,3,4,4,4,4,4,0,4,3,4,0,1,4,2,1,1,3,4,2,1,3,0,4,0,2,2,1,0,3,4,3,4,1,1,3,2,0,3,4,0,3,4,3,1,2,2,0,1,3,4,3,0,3,2,3,4,1,2,2,1,2,0,3,0,2,0,0,3,4,3,2,0,4,0,4,2,4,0,3,4,2,0,3,1,0,1,1,3
30,2,0,1,4,4,1,4,1,0,2,1,0,1,3,1,2,2,4,1,4,1,3,0,2,2,2,4,0,3,0,0,4,3,4,2,4,0,1,1,3,0,2,1,4,1,0,2,1,1,1,0,0,1,0,3,4,1,0,3,3,1,0,3,1,0,2,2,0,4,0,3,4,1,1,2,4,0,4,0,2,4,0,1,2,2,0,3,0,0,0,0,2,2,0,0,0,0,3,2,1
31,1,2,2,3,4,2,0,0,3,0,2,2,0,1,1,2,0,0,3,3,0,3,3,3,0,1,0,2,4,4,4,1,1,4,4,2,3,4,2,2,3,2,4,0,4,1,3,4,0,2,3,2,2,0,1,0,2,0,4,0,0,3,3,0,0,0,0,0,1,2,3,0,0,1,3,3,3,3,0,4,1,4,4,4,0,0,3,0,2,1,4,3,2,2,0,2,3,1,1,2
32,2,2,1,4,2,0,3,2,4,4,2,3,2,4,0,1,0,0,0,4,4,1,2,1,3,0,1,0,3,3,0,3,0,2,3,3,4,2,2,2,1,1,3,2,0,2,4,4,4,0,0,4,0,1,2,2,0,1,3,3,0,4,4,0,4,3,0,2,4,0,2,4,2,2,2,2,4,4,0,0,0,2,3,1,3,4,0,2,0,1,3,3,4,2,1,2,1,0,3,1
33,3,2,0,2,4,0,1,2,1,4,4,3,3,3,4,4,2,4,1,3,0,2,4,3,2,3,0,2,4,4,4,1,4,1,4,3,0,3,1,0,2,2,1,1,2,1,4,2,2,0,1,2,4,2,0,2,1,0,1,3,3,2,1,4,0,4,1,3,2,4,0,4,4,4,2,0,1,3,2,4,4,1,1,3,3,3,1,1,3,1,1,1,4,0,3,3,3,4,0,4
34,2,1,0,4,0,2,1,4,3,0,0,3,0,0,2,3,3,2,4,0,4,0,3,2,3,1,0,1,2,1,0,1,3,3,4,1,3,0,3,1,2,1,1,1,4,3,1,0,2,1,0,2,3,0,4,0,0,4,1,2,2,3,1,1,4,3,4,4,1,2,2,0,1,2,4,1,2,0,1,3,3,0,4,1,3,1,2,1,3,3,1,1,2,2,4,2,4,3,0,2
35,1,3,4,0,3,3,1,1,1,2,2,1,1,3,2,0,3,3,2,1,2,3,2,3,0,1,3,3,1,3,2,1,1,1,3,3,3,0,3,0,1,3,3,1,4,2,1,3,4,2,0,2,0,2,3,2,2,0,3,4,3,4,0,2,1,0,2,0,1,1,3,1,3,4,2,3,0,0,4,2,0,1,2,2,1,3,3,4,3,3,1,0,0,1,2,2,3,0,4,0
36,4,2,0,1,4,2,2,1,1,2,0,0,3,2,2,2,1,0,3,1,1,4,1,1,1,2,3,2,4,3,0,3,1,2,0,2,4,0,3,0,3,1,2,0,1,3,0,1,4,1,4,4,0,3,4,1,3,4,2,1,4,4,2,0,1,4,0,4,0,4,2,2,2,3,1,0,4,2,1,1,1,2,4,4,2,4,4,2,2,2,2,3,4,1,3,4,4,3,1,2
37,3,0,2,1,4,2,1,3,2,2,4,4,4,1,3,2,3,1,4,1,4,2,4,4,0,0,3,1,3,4,2,1,2,0,1,0,1,3,2,3,2,0,4,0,2,3,2,2,0,4,4,3,4,3,4,3,1,2,2,0,3,2,2,1,2,2,1,3,0,1,3,3,4,3,4,3,0,1,4,2,2,2,1,2,0,2,2,2,3,0,1,1,0,4,0,3,4,2,3,1
38,0,0,3,1,4,3,1,1,1,4,2,2,2,1,1,1,3,0,4,2,3,3,1,0,4,4,3,0,2,4,4,2,3,3,0,3,3,3,1,1,0,1,3,2,2,0,0,1,2,4,1,0,0,1,2,0,1,2,4,2,1,1,0,0,2,2,3,4,2,3,4,1,3,0,1,2,4,2,4,0,1,4,3,0,2,1,2,1,4,2,2,4,1,3,2,0,4,3,3,0
39,0,0,3,3,1,0,3,4,3,4,3,0,1,3,0,2,1,1,0,2,1,1,1,1,4,4,3,1,1,4,1,4,0,1,0,2,0,2,3,4,2,2,1,2,3,1,2,4,1,2,0,4,0,3,0,0,1,0,4,4,4,0,4,3,2,2,0,0,4,4,1,4,0,2,3,4,4,3,1,1,1,1,4,0,4,1,0,2,1,1,4,0,0,2,0,3,4,4,4,4
40,0,3,4,2,1,2,4,4,4,2,3,3,4,4,3,3,2,2,4,0,1,2,1,4,0,3,1,1,1,1,1,4,1,1,1,2,1,2,0,1,0,1,4,4,4,4,4,1,2,0,2,1,0,3,0,2,0,1,4,4,1,2,0,1,0,0,3,1,1,1,4,0,0,3,3,3,2,0,4,1,2,2,3,2,1,1,2,0,1,4,2,3,3,0,0,1,3,3,1,4
41,3,0,2,1,0,4,2,3,3,3,0,1,2,1,3,3,2,3,4,2,2,4,3,2,4,1,3,2,4,3,0,2,0,0,1,4,0,4,2,0,2,3,3,1,1,0,3,2,2,2,0,0,1,3,1,3,0,2,0,1,2,3,0,2,2,1,1,3,4,1,2,3,4,1,3,1,2,1,4,0,4,4,0,1,2,1,1,2,0,0,1,1,3,3,1,4,2,4,4,4
42,1,0,4,4,4,4,3,3,0,0,2,2,4,4,1,3,3,2,3,2,0,3,2,0,3,4,2,1,3,4,3,0,2,0,2,2,4,3,2,2,2,3,2,3,1,1,0,4,3,3,3,1,3,4,1,1,3,4,2,2,2,2,2,4,2,2,0,2,0,1,0,0,2,0,1,2,0,2,0,2,2,3,4,1,0,4,4,1,4,2,4,0,0,1,4,4,0,0,0,4
43,3,1,3,2,1,0,0,0,1,4,0,3,4,4,1,3,0,4,2,0,4,4,3,2,2,1,4,3,0,2,2,2,4,2,3,1,2,1,4,2,4,2,4,1,3,1,0,4,1,1,4,4,1,0,1,3,3,0,4,2,3,0,3,4,3,0,3,3,4,3,4,0,4,3,4,3,0,1,1,1,3,0,3,0,2,0,4,0,3,0,0,3,2,0,4,0,1,2,2,0
44,3,3,1,2,1,1,3,3,2,1,1,3,0,0,1,1,4,2,0,4,2,2,2,3,2,1,4,2,0,3,4,2,0,0,1,4,4,4,1,0,1,0,1,2,4,2,2,0,3,2,4,0,0,0,0,3,3,0,1,2,0,1,2,0,1,3,4,0,2,3,1,2,4,3,0,0,4,3,0,3,0,3,1,4,1,2,3,3,0,4,4,0,2,0,1,3,1,2,3,3
45,1,4,3,4,2,3,4,2,3,0,0,2,2,3,1,3,4,2,2,4,4,1,3,4,1,1,4,4,1,0,3,4,4,3,2,4,4,4,4,1,4,2,2,2,0,2,3,0,3,1,2,1,1,2,0,0,4,4,0,3,4,1,2,4,1,4,0,4,0,1,0,3,3,0,2,4,3,2,1,4,4,1,1,3,4,1,4,3,2,3,1,1,1,2,2,3,3,2,2,3
46,3,4,4,4,4,1,0,4,0,2,1,1,3,1,1,0,1,4,2,3,1,0,0,3,3,4,0,1,2,2,1,3,4,3,1,3,2,1,2,3,2,4,0,3,2,3,0,1,0,0,0,4,4,4,2,4,3,1,2,2,2,3,3,2,1,4,4,0,3,1,2,1,0,3,0,3,2,0,2,0,3,2,4,2,0,1,0,3,2,1,3,0,2,0,0,4,0,0,4,3
47,1,4,4,1,3,3,1,0,1,1,1,1,4,3,0,1,2,3,4,0,0,0,0,1,0,4,0,4,2,2,3,1,1,3,0,2,0,3,0,1,2,0,0,4,0,4,2,2,1,3,1,0,1,2,1,2,1,1,0,4,1,0,1,1,1,4,2,0,1,3,1,2,2,2,4,0,3,1,0,1,1,4,0,1,1,4,1,3,0,4,1,1,3,4,1,0,3,2,3,1
48,2,3,0,2,0,4,3,3,3,1,1,3,1,4,4,4,0,2,2,1,4,3,1,0,1,3,0,0,3,1,4,0,3,2,4,2,3,2,4,1,4,3,1,0,1,1,2,0,4,1,4,0,2,2,2,4,3,4,2,0,2,2,2,3,1,1,2,0,2,3,1,1,4,1,4,1,0,2,1,0,1,4,0,4,1,3,0,0,4,1,2,3,0,4,2,4,4,1,4,2
49,0,1,2,2,2,3,0,1,2,0,0,2,3,3,2,4,4,4,2,0,4,3,3,3,3,2,3,1,0,2,0,4,1,3,4,3,1,3,4,2,0,3,3,3,0,2,4,2,2,4,1,1,1,0,1,2,2,4,4,4,1,2,3,4,3,0,1,2,0,4,1,0,2,4,2,4,3,4,1,1,0,3,1,0,3,1,3,3,2,4,4,3,0,3,1,0,0,1,2,0
50,2,4,3,0,0,1,4,0,0,0,4,1,1,2,1,3,0,1,3,4,0,1,2,0,2,0,0,2,4,3,1,0,2,2,3,1,2,1,0,4,0,2,4,0,2,1,4,1,1,3,2,2,4,0,0,4,4,3,1,3,0,4,0,4,3,1,3,1,1,3,2,0,3,4,3,3,3,0,4,3,3,3,2,3,3,4,0,1,2,3,2,4,0,3,0,0,2,2,2,2
51,4,4,0,1,3,0,3,3,0,4,0,4,0,1,3,3,1,0,0,0,4,4,3,0,3,2,2,0,1,2,1,0,4,4,0,4,4,2,3,4,3,0,1,2,4,1,1,3,3,2,3,0,4,4,4,1,0,1,1,1,2,3,4,1,0,3,2,0,3,3,3,4,1,1,1,2,4,1,1,4,2,2,2,3,1,4,0,3,3,1,3,0,4,1,1,3,3,2,0,4
52,0,2,3,4,2,3,2,4,2,2,3,4,3,0,3,3,1,4,1,3,2,1,1,2,2,4,3,2,1,1,3,3,0,2,1,0,0,3,2,4,4,0,3,1,3,0,0,1,4,3,4,4,3,3,2,1,4,2,0,4,0,0,2,3,3,0,3,2,4,4,3,2,0,1,4,4,0,2,2,4,2,3,0,0,2,2,3,0,0,1,2,3,3,0,3,1,1,1,4,2
53,2,4,4,2,2,1,2,3,2,0,3,0,0,3,1,4,2,0,1,2,1,2,0,3,1,2,2,1,1,4,4,3,2,3,3,0,1,0,4,4,4,4,0,2,2,2,2,2,3,0,3,2,1,1,1,3,2,2,3,0,1,4,4,4,1,4,3,4,4,0,1,2,3,0,1,1,4,3,0,4,2,4,1,4,0,2,1,3,2,0,3,0,1,2,0,4,3,1,1,2
54,4,3,3,1,2,3,2,1,1,0,4,2,1,1,3,0,0,1,0,1,3,4,2,4,3,3,1,2,3,1,1,3,2,4,0,4,4,3,0,2,0,3,4,2,3,2,3,1,3,4,3,3,3,1,4,1,0,2,2,2,1,2,4,0,2,4,3,2,2,4,3,0,3,0,1,1,3,4,2,0,4,0,4,3,0,2,0,2,4,3,3,1,4,1,2,2,3,1,4,0
55,3,4,1,4,0,2,3,2,4,3,1,2,0,1,0,1,3,2,3,2,2,2,0,0,3,0,4,3,0,3,3,3,0,3,0,3,0,4,4,3,2,3,3,3,0,0,1,2,0,0,3,4,2,2,2,3,1,2,1,1,0,2,1,1,4,1,2,1,3,2,1,3,4,1,4,4,3,1,0,1,0,1,2,1,0,2,4,3,0,0,1,1,4,0,2,2,1,0,4,1
56,3,2,0,0,3,1,0,2,2,3,1,4,3,0,0,2,3,2,2,3,0,0,2,4,4,1,4,4,1,0,1,4,1,0,4,2,2,3,0,2,2,1,2,3,2,3,1,1,4,4,1,3,3,1,0,1,3,3,3,3,3,2,3,3,4,3,1,1,2,4,4,2,2,3,0,4,2,0,2,4,3,1,4,3,2,3,2,2,3,2,4,3,1,1,4,1,3,4,3,3
57,1,3,2,1,1,3,0,1,4,4,2,3,3,0,4,2,1,1,3,4,2,0,3,0,1,3,4,4,0,2,1,0,0,2,1,0,0,4,3,2,0,0,2,2,2,0,0,1,0,4,3,2,1,4,2,3,0,1,3,4,4,4,3,2,2,0,4,1,0,2,0,1,2,2,3,2,0,1,3,3,2,3,4,4,4,0,3,0,1,0,1,1,1,0,1,3,4,0,2,2
58,4,1,3,3,0,4,4,2,2,2,3,0,3,1,3,1,2,0,3,1,4,3,4,4,4,2,1,3,0,2,0,2,1,4,3,0,4,0,3,1,0,3,2,0,3,2,0,3,1,0,2,1,4,2,4,2,1,0,1,1,4,3,4,1,4,1,0,1,3,4,3,3,1,4,2,1,2,2,4,1,3,0,0,0,1,0,1,1,2,4,1,1,0,3,0,4,4,0,1,2
59,0,4,4,3,3,0,4,0,0,2,3,2,4,3,0,2,4,1,0,1,3,4,0,4,0,3,3,4,1,4,2,4,3,2,3,1,2,0,2,3,1,4,0,1,1,4,1,2,1,3,0,4,2,4,4,3,3,3,1,1,2,1,4,3,3,2,4,2,4,2,1,3,2,2,0,0,2,3,3,1,0,4,3,3,3,3,1,2,4,2,3,2,3,2,0,4,1,4,3,0
