Trial,S000,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S091,S092,S093,S094,S095,S096,S097,S098,S099
10,2,5,0,0,4,0,0,0,4,2,2,2,1,2,1,2,0,3,1,3,3,3,2,1,3,3,1,0,5,3,5,3,1,5,2,5,0,2,0,5,5,5,3,4,3,0,0,2,5,4,0,2,0,1,5,1,5,3,5,2,0,5,3,0,3,5,3,1,4,0,2,4,4,0,1,4,1,4,2,3,0,4,2,5,1,1,5,4,1,0,5,0,4,0,3,2,3,2,1,4
11,4,4,3,1,5,0,3,2,3,3,5,4,0,5,1,4,0,1,5,3,5,0,2,3,5,1,5,5,2,5,5,1,0,5,1,2,5,0,4,1,5,1,1,3,5,0,5,0,4,2,0,1,4,4,0,3,2,0,3,4,0,0,2,5,4,1,2,0,0,3,2,0,1,0,2,3,4,4,2,3,0,4,1,3,4,1,3,1,1,3,1,2,0,3,0,1,3,4,0,5
12,5,2,5,3,0,2,4,5,2,0,2,3,0,1,2,5,1,1,4,0,5,0,1,0,3,4,4,0,5,3,5,3,3,1,5,0,5,2,5,3,4,3,4,1,3,5,4,2,1,1,1,5,2,3,3,3,4,1,2,3,3,5,3,1,5,5,1,2,0,0,2,4,2,2,4,5,5,2,5,1,5,5,5,5,2,4,0,0,5,5,5,4,3,2,1,0,5,4,3,5
13,0,3,5,3,0,4,2,2,3,5,2,3,4,1,4,4,1,0,1,4,0,1,5,3,2,0,5,4,1,1,2,4,5,5,1,2,0,3,4,4,0,5,0,0,0,0,1,3,5,4,2,3,4,1,3,2,5,3,5,4,5,4,2,4,0,1,2,0,1,4,3,5,5,5,2,0,2,0,0,4,4,4,1,0,1,2,3,5,1,2,1,5,1,4,1,0,3,3,2,3
14,2,1,5,4,1,5,5,3,2,0,0,0,0,2,3,0,5,0,2,1,2,2,4,3,2,3,2,0,5,2,2,2,3,0,2,1,5,4,2,2,0,5,5,0,5,1,5,3,2,3,4,1,0,0,1,5,3,0,5,3,2,2,4,3,0,0,0,3,0,4,5,2,2,5,4,3,1,2,5,3,3,0,0,0,3,0,2,1,3,1,4,3,0,2,2,1,0,4,2,1
15,5,0,1,2,4,0,1,5,5,0,3,3,5,4,0,3,5,3,5,2,1,4,2,0,5,3,3,1,4,5,5,4,3,2,5,3,5,0,1,1,4,2,0,1,4,4,1,4,2,4,5,3,5,2,1,1,1,2,3,1,1,1,5,0,1,1,2,2,3,0,1,0,0,1,3,4,5,3,4,2,2,2,3,2,4,1,5,3,4,1,4,2,5,1,4,5,5,5,0,1
16,5,3,4,0,4,0,1,5,4,2,5,1,4,5,4,5,2,2,5,1,0,5,1,5,2,2,3,0,0,4,2,2,3,2,3,1,0,1,3,3,1,4,3,2,3,5,1,3,0,1,4,1,4,1,4,4,3,2,4,1,1,2,5,0,0,1,2,4,5,0,1,4,0,5,2,5,4,2,5,1,5,2,0,1,2,4,5,3,3,3,3,1,0,1,4,3,1,2,4,5
17,1,4,2,1,1,0,5,3,0,3,5,2,4,1,2,4,0,3,1,5,0,4,3,0,4,4,4,2,4,4,0,4,5,1,2,5,1,0,1,4,2,0,3,4,4,0,3,4,5,5,1,3,1,1,2,2,3,4,2,0,3,3,3,5,3,3,4,5,1,1,4,5,0,3,2,0,1,2,2,4,4,1,1,5,4,3,2,0,2,3,3,4,5,5,4,4,3,0,0,2
18,2,2,2,4,1,5,0,2,4,5,4,0,5,0,3,1,2,0,0,1,4,1,5,3,5,0,3,4,5,5,2,5,3,4,4,0,0,1,2,5,3,1,4,4,5,5,4,0,5,1,2,3,3,1,3,4,3,1,4,3,3,0,0,0,4,4,2,5,2,5,0,1,5,5,2,4,4,2,5,1,5,1,1,4,3,5,0,5,2,4,2,4,5,1,0,3,4,3,0,0
19,2,0,3,1,0,5,2,5,0,3,1,1,3,1,0,0,3,0,1,2,2,5,2,5,5,3,4,5,3,0,3,0,2,2,4,1,4,4,5,2,2,4,5,4,5,1,5,3,5,0,0,1,5,1,1,2,3,3,1,4,1,5,4,2,5,5,4,2,5,3,2,2,3,3,5,1,2,4,2,2,5,1,3,5,1,4,3,4,3,2,2,4,2,1,4,1,1,5,4,5
20,1,0,4,3,3,4,4,4,1,3,0,2,0,4,2,5,3,3,0,5,2,5,5,4,3,3,2,1,4,2,0,2,4,5,5,5,4,5,2,3,4,1,0,5,2,1,2,4,1,4,5,3,1,0,5,4,1,2,2,4,2,4,0,3,1,0,0,1,5,2,5,0,0,0,3,2,1,5,4,0,5,3,3,5,2,2,5,1,5,2,1,4,5,0,5,3,0,0,5,5
21,0,4,5,5,0,5,2,3,3,4,1,4,1,4,3,5,3,4,4,2,5,3,1,5,4,1,2,4,4,3,3,1,0,3,2,4,4,2,3,0,3,2,2,4,0,0,3,4,2,3,5,2,0,2,1,2,5,3,2,5,1,2,4,5,0,3,2,4,3,4,1,3,3,4,5,2,4,4,3,2,3,0,0,2,3,5,4,3,0,5,0,5,3,4,5,4,2,0,1,2
22,4,0,0,5,0,2,4,4,3,1,5,4,4,2,2,0,3,2,1,3,1,0,1,4,0,3,2,2,0,2,4,1,0,3,3,5,5,5,4,1,3,0,5,3,0,3,1,5,3,2,0,2,2,2,2,2,4,1,2,2,4,5,2,2,2,4,1,1,3,4,4,2,1,4,5,2,5,5,5,1,1,1,2,1,0,2,0,3,1,0,0,4,1,3,1,4,2,0,3,0
23,0,4,0,1,1,4,1,0,2,1,1,3,1,0,3,4,4,1,5,3,3,0,2,1,1,4,1,1,0,2,3,3,5,3,0,0,5,5,0,4,3,4,1,1,3,4,3,2,0,5,4,2,3,0,5,3,5,1,0,4,3,0,1,3,4,4,5,1,3,1,1,4,3,3,1,3,2,5,3,1,3,0,4,2,1,5,4,4,2,0,5,0,1,0,0,5,3,2,2,0
24,0,3,2,1,3,3,2,5,4,5,4,0,4,3,1,1,3,2,3,2,4,2,1,2,2,5,4,5,4,4,5,0,5,0,1,1,3,5,2,3,0,4,5,2,2,1,0,5,5,1,5,1,3,3,5,4,0,0,4,5,5,2,5,1,2,0,1,4,0,4,3,0,4,2,2,1,4,3,0,2,2,5,3,2,4,5,0,1,5,1,3,4,1,4,2,4,0,0,1,0
25,0,2,4,0,5,0,0,4,0,1,0,0,2,4,5,2,3,4,1,3,3,2,4,1,3,2,4,5,4,2,4,2,4,5,2,0,2,0,5,2,5,3,4,4,2,0,5,0,2,2,5,5,0,4,1,2,0,3,2,2,4,3,2,2,4,1,3,5,3,0,3,4,2,5,1,5,0,4,5,5,3,0,2,3,0,1,1,2,2,1,3,0,5,3,2,2,1,4,3,3
26,3,3,0,0,2,5,3,2,4,1,0,4,5,3,3,4,2,2,5,1,3,0,5,4,3,3,5,0,1,0,0,4,4,3,5,0,2,5,0,2,1,1,3,2,4,3,3,3,1,4,5,0,0,5,4,1,0,3,5,1,5,0,2,3,2,2,4,1,4,1,5,1,3,2,5,4,2,1,3,0,2,4,1,2,3,0,5,2,4,2,2,1,4,5,5,0,2,0,0,1
27,0,1,4,3,3,3,0,4,3,3,2,0,5,0,5,2,1,0,2,0,3,3,4,2,1,2,2,2,1,5,2,1,5,1,0,0,1,0,4,1,0,5,0,4,2,5,2,2,4,3,4,4,1,0,0,1,3,2,3,1,1,0,5,4,4,0,1,0,4,1,3,5,5,5,3,3,0,2,5,5,5,2,2,4,5,3,1,3,0,0,0,0,0,5,3,1,1,2,1,4
28,0,0,5,2,2,1,3,5,4,1,0,2,1,1,3,5,0,3,2,2,4,2,4,0,2,2,2,4,3,0,4,4,4,4,4,4,0,5,2,5,1,2,0,2,2,1,1,5,1,4,0,0,1,5,1,5,4,4,4,1,2,4,4,3,2,4,5,2,2,0,5,3,1,0,4,1,1,3,1,1,1,4,0,5,5,2,4,0,3,2,4,2,4,4,0,3,0,4,4,4
29,5,2,2,1,3,4,1,2,2,0,2,5,3,0,1,1,2,0,3,2,1,4,5,4,3,1,2,4,1,1,4,4,4,1,2,2,1,5,1,1,0,4,5,3,5,3,1,3,1,0,1,2,4,4,4,1,2,5,2,5,1,1,1,2,0,5,0,3,4,5,4,5,5,0,3,4,1,3,3,0,0,1,2,3,3,2,3,4,2,2,4,2,1,0,4,3,0,4,0,0
30,4,4,0,3,4,5,3,3,2,0,0,0,2,4,5,4,4,4,2,4,3,1,4,3,3,5,5,3,1,5,1,4,1,3,0,5,3,4,0,4,1,1,1,3,3,5,4,2,1,3,2,5,5,4,5,0,2,3,0,0,1,3,1,0,3,3,3,0,4,1,1,0,5,3,2,0,5,3,2,4,0,3,5,0,0,3,2,1,4,4,5,3,2,4,1,5,2,5,1,5
31,5,1,1,4,1,5,1,0,5,0,3,0,0,1,2,1,4,5,3,2,1,4,5,2,0,5,5,4,2,4,4,4,0,0,3,2,0,3,1,0,4,3,4,5,5,0,3,0,0,3,0,4,1,5,0,2,0,2,5,1,0,2,1,3,5,0,0,0,3,5,5,4,5,1,1,2,5,5,2,3,3,2,4,1,4,3,2,2,2,5,5,0,2,5,5,4,4,0,3,0
32,2,5,4,3,2,3,1,2,3,5,1,3,1,0,0,3,3,1,2,3,2,3,0,3,0,5,3,4,1,3,3,5,1,3,3,1,1,0,5,4,2,5,2,0,5,4,1,5,4,2,2,1,0,2,0,5,2,5,0,3,5,1,1,4,1,5,5,2,5,3,0,3,0,3,2,1,3,0,0,3,0,0,2,4,2,4,4,4,1,0,1,2,4,5,5,5,1,2,2,1
33,3,5,0,4,5,3,2,1,2,0,3,4,3,2,5,2,3,5,2,2,5,3,1,5,1,4,2,3,3,4,4,2,2,2,2,3,4,0,1,5,1,1,5,5,4,3,3,2,3,0,1,0,0,2,2,5,1,0,1,4,3,5,3,4,5,3,4,3,5,1,4,1,5,3,0,4,0,1,4,4,1,4,5,0,0,5,0,5,5,4,3,5,4,0,2,4,1,3,2,4
34,4,5,2,3,2,2,3,1,0,4,4,2,4,2,3,2,4,5,0,3,4,2,1,3,0,4,0,1,5,1,3,3,1,0,2,3,3,2,5,5,5,0,2,1,4,4,2,3,5,3,3,3,5,3,3,5,4,0,0,2,1,3,1,2,3,5,5,2,1,2,4,1,4,4,0,3,4,1,2,2,0,4,2,3,3,0,4,4,1,3,5,2,1,4,5,0,2,1,0,2
35,0,3,4,0,2,3,4,0,3,4,5,3,2,1,3,3,2,3,1,3,1,4,5,1,0,4,0,3,3,5,0,5,5,1,1,4,0,0,4,4,4,0,0,5,4,3,4,2,4,0,0,5,1,3,0,5,1,5,4,2,5,4,0,1,0,4,3,2,2,0,3,1,2,0,3,3,3,1,0,5,5,0,4,1,0,4,0,5,2,3,5,1,0,3,3,5,2,2,5,4
36,4,0,4,1,2,2,5,3,5,3,4,4,4,5,5,2,0,5,1,0,0,3,0,1,2,1,1,4,4,1,1,5,4,2,3,2,4,4,0,5,3,4,0,5,0,3,1,1,4,0,3,4,3,4,4,5,5,2,5,1,0,1,3,2,1,4,1,2,3,4,3,3,1,3,1,0,1,2,1,3,2,5,1,1,1,2,5,2,5,5,0,5,2,4,4,4,5,2,5,4
37,2,1,3,5,2,4,5,1,1,2,3,2,2,3,4,3,1,2,2,5,4,5,5,2,4,2,4,2,4,5,3,4,4,4,0,5,2,4,1,1,5,3,2,4,5,3,1,4,0,5,0,5,5,1,3,4,2,3,3,2,1,4,3,1,0,0,4,0,2,0,1,5,0,4,0,5,0,5,4,3,5,5,2,3,4,3,4,4,1,1,1,2,2,5,3,0,0,2,3,4
38,3,4,3,2,2,2,4,2,1,1,1,3,3,5,0,0,1,4,5,5,0,4,1,5,5,4,1,1,4,2,3,3,5,1,3,4,4,3,5,5,3,3,3,1,5,1,4,1,4,4,3,4,2,3,0,3,5,4,1,5,2,1,4,1,0,3,4,5,2,3,1,2,4,2,1,0,1,3,4,3,4,4,5,0,5,1,2,5,3,5,0,0,2,3,2,2,3,5,3,5
39,2,1,1,0,5,3,3,4,2,5,4,5,4,3,0,5,4,4,3,5,2,1,2,5,3,2,3,0,1,1,2,0,2,2,5,0,4,5,3,4,2,5,4,1,4,0,4,2,0,3,1,2,5,3,5,5,0,1,0,0,0,0,5,4,2,1,1,4,1,3,5,0,2,3,4,3,3,0,4,0,1,2,1,3,4,3,3,2,0,0,5,3,2,5,1,3,4,1,0,2
40,2,2,2,2,2,5,2,5,4,0,3,1,2,2,2,4,5,2,4,1,4,1,0,3,4,2,0,4,0,0,5,3,4,3,4,2,3,2,5,1,3,1,5,2,1,2,3,4,4,4,3,0,5,0,3,1,1,4,5,2,1,4,0,0,2,4,0,2,0,5,2,3,1,2,2,5,5,4,3,4,1,5,2,3,0,1,5,4,3,2,2,4,1,2,3,5,5,4,4,4
41,0,3,1,5,2,3,5,0,3,5,0,5,2,5,0,0,4,2,0,5,1,5,3,2,1,5,0,5,2,1,1,4,0,4,1,3,4,1,0,0,5,5,1,2,0,4,2,1,2,0,5,2,0,4,3,1,2,4,5,1,0,3,5,4,5,0,5,3,1,2,3,5,4,5,2,2,0,4,2,5,0,2,1,4,2,2,1,3,1,4,3,3,1,5,0,1,5,4,2,3
42,1,3,5,1,3,2,0,0,5,2,3,1,1,2,4,3,5,5,2,0,4,1,2,0,4,1,4,3,5,4,5,0,5,5,2,2,2,2,5,2,2,3,4,3,2,4,1,0,2,5,1,4,3,3,1,0,0,4,4,0,4,1,4,2,3,3,0,4,5,2,1,0,1,4,0,5,5,1,2,2,1,4,4,1,1,5,2,3,0,2,5,3,1,1,4,0,5,1,4,1
43,3,3,0,4,3,1,4,0,1,3,4,2,1,2,3,3,4,5,4,4,3,4,4,4,1,1,1,5,4,5,1,2,3,3,2,2,2,4,0,0,1,2,1,2,2,2,5,1,3,1,0,3,2,0,2,0,0,5,0,2,5,0,0,1,1,5,3,1,1,1,2,0,5,5,0,2,1,5,1,4,0,2,0,5,1,2,1,0,4,3,0,5,3,5,4,1,0,1,1,3
44,5,1,3,2,0,5,0,4,0,3,1,3,4,4,5,0,2,3,2,0,0,0,5,4,5,0,2,0,2,1,1,5,1,1,1,1,3,3,2,0,5,3,1,0,3,3,3,1,1,2,1,0,0,3,2,5,2,1,0,5,4,3,4,3,1,3,2,4,3,4,3,5,3,2,0,0,4,2,2,4,4,2,2,3,1,5,0,2,3,4,0,3,0,2,1,1,1,0,0,5
45,4,1,2,1,5,0,4,4,4,1,0,3,3,3,1,4,1,4,0,5,1,2,4,5,4,0,5,1,2,3,2,0,1,2,4,2,5,5,4,4,1,0,3,5,0,5,4,5,2,0,1,1,5,5,4,0,0,3,0,0,2,1,0,2,5,1,4,1,1,3,4,2,0,4,2,3,3,0,4,0,3,1,3,3,5,4,5,5,5,4,4,5,3,0,2,0,4,0,5,1
46,3,2,5,5,1,4,4,3,0,4,1,0,1,5,1,1,4,0,2,5,3,1,0,5,2,5,3,4,5,0,3,3,5,4,1,5,3,3,2,3,1,5,1,3,3,1,1,1,4,5,2,5,2,2,5,3,3,1,4,3,0,2,5,5,5,3,3,4,4,5,0,4,2,0,5,4,0,0,2,4,1,3,3,4,2,0,3,4,0,0,4,5,4,1,0,4,1,1,1,1
47,1,5,4,5,3,5,0,2,3,2,2,5,5,5,2,1,4,1,5,3,3,0,5,5,4,2,1,5,0,1,2,3,2,3,1,1,0,1,5,0,5,2,0,5,4,2,3,0,3,5,2,3,3,5,4,0,1,4,3,1,4,5,0,1,3,4,1,1,2,4,4,5,1,5,0,1,2,1,0,1,2,2,5,3,0,3,2,2,3,5,1,2,1,0,0,2,0,3,0,2
48,4,4,2,5,5,4,5,1,2,4,4,0,5,2,5,0,5,1,1,4,1,4,3,4,4,5,4,2,3,2,5,0,4,4,4,3,2,5,0,5,3,3,3,1,1,5,3,5,3,0,5,4,5,5,1,5,0,0,5,0,2,0,3,1,2,2,1,1,3,2,4,1,3,4,3,5,0,1,3,5,2,4,4,1,4,1,2,3,3,4,3,3,2,0,1,4,1,5,4,2
49,1,2,1,0,5,1,1,0,3,3,3,5,1,1,2,1,0,5,3,0,4,2,3,3,4,4,3,5,0,2,2,0,2,0,3,0,1,2,2,3,1,2,2,0,4,4,0,1,5,4,0,5,4,0,1,2,4,5,2,0,2,0,5,5,3,2,2,1,1,2,0,3,3,4,1,0,4,0,5,5,1,2,4,2,3,1,1,0,3,0,3,1,5,4,1,4,5,1,3,0
50,2,5,0,3,3,1,3,5,5,5,3,4,2,1,4,2,0,1,0,3,3,2,0,2,4,1,0,2,5,5,1,3,0,2,5,2,4,3,5,0,5,0,0,0,2,0,5,1,0,4,5,3,2,4,0,5,3,0,3,2,3,4,5,2,4,3,5,2,5,0,0,5,5,1,1,2,0,5,0,4,3,2,4,4,5,0,0,2,0,2,0,4,3,2,0,0,1,4,2,1
51,2,5,4,0,2,0,1,1,2,2,3,0,0,1,3,5,2,4,5,0,5,0,3,5,5,3,5,4,5,3,2,1,2,4,0,3,0,3,5,5,3,2,1,4,1,2,2,2,2,0,3,0,0,4,2,2,5,3,5,2,4,2,1,3,0,2,0,3,3,3,5,3,0,0,5,0,0,3,4,4,2,5,1,1,1,3,5,5,2,0,3,0,3,3,1,1,3,5,5,5
52,3,2,3,0,1,1,3,2,4,5,2,1,1,4,4,0,1,3,0,1,3,0,3,1,5,2,0,3,4,0,5,4,1,1,5,5,0,4,0,5,4,2,5,2,4,2,4,1,5,2,2,1,4,5,3,3,2,3,1,5,5,5,3,0,0,1,3,5,3,2,5,3,4,2,5,5,2,3,3,1,3,5,5,5,5,3,0,5,1,3,4,0,2,3,0,2,2,5,5,2
53,3,4,1,3,5,5,2,5,1,4,4,5,4,1,0,1,5,0,1,4,3,1,3,4,0,5,3,3,5,3,0,1,0,1,2,0,1,1,4,4,4,0,4,3,1,2,0,2,5,5,3,4,4,3,5,3,5,1,1,4,2,0,5,2,3,1,2,3,4,0,3,2,3,1,4,2,3,4,1,3,0,1,0,5,4,2,3,4,2,2,2,5,5,2,5,3,2,3,5,0
54,1,0,4,1,1,2,1,2,5,5,2,4,4,3,2,3,5,3,0,0,1,2,5,2,3,3,2,5,0,4,1,1,3,0,3,0,2,4,0,1,4,1,4,3,1,2,0,3,3,3,3,0,3,1,1,0,1,4,0,3,2,5,2,4,5,4,1,0,0,3,2,1,2,4,5,1,2,0,0,4,4,1,4,0,2,4,4,5,5,5,0,2,2,4,3,5,3,5,4,3
55,1,4,1,2,3,1,2,5,1,2,2,5,5,4,5,4,3,0,4,5,1,5,1,5,1,1,0,0,2,0,5,1,0,5,5,3,1,0,2,2,3,3,4,0,3,4,2,5,1,3,0,3,1,4,2,1,5,2,0,5,4,4,2,3,3,0,2,0,5,1,5,0,5,2,1,5,4,1,5,3,2,3,3,4,0,1,3,1,0,3,3,0,0,1,4,2,0,1,5,5
56,3,5,1,4,5,4,3,0,5,4,2,3,5,5,5,1,5,4,0,5,2,0,0,4,1,0,1,1,5,0,4,1,3,3,4,5,5,1,2,4,1,4,3,1,2,5,2,4,2,1,1,2,0,0,4,4,2,3,1,1,5,2,4,1,5,3,5,5,1,5,0,2,2,1,0,0,3,5,0,5,4,3,4,4,5,0,1,1,4,1,2,1,3,1,5,2,5,3,5,1
57,5,5,0,4,4,4,0,4,1,5,5,1,5,0,2,0,1,3,3,4,0,2,0,1,0,5,4,1,3,1,4,0,2,0,5,2,5,1,3,0,1,5,4,0,1,1,2,1,2,1,4,2,1,2,0,4,1,5,3,4,2,0,3,1,5,5,3,0,2,5,2,2,4,1,1,2,4,4,1,1,4,3,1,3,2,0,0,3,2,5,4,3,0,5,2,0,4,3,0,3
58,2,3,2,4,0,2,1,3,4,5,5,1,1,0,1,4,5,2,3,2,5,5,4,5,0,3,1,1,5,4,3,1,1,5,0,4,3,4,1,0,0,4,1,5,2,2,3,1,3,5,2,1,2,2,1,0,1,4,1,5,3,4,4,5,3,0,0,5,2,2,0,4,4,3,0,5,2,0,1,0,3,5,0,2,1,5,2,0,0,4,4,1,0,2,5,2,0,3,4,4
59,5,2,2,1,4,3,1,1,5,1,0,5,3,3,5,2,4,1,3,0,0,3,3,4,1,1,4,0,4,1,2,5,5,0,3,1,1,3,4,0,3,2,5,0,1,5,0,4,2,2,4,1,3,2,2,4,0,5,5,0,4,5,1,0,2,0,5,5,4,2,4,5,4,0,4,4,3,0,4,2,3,3,0,1,5,3,1,1,0,4,1,0,3,1,2,3,4,3,0,3
60,4,1,0,5,1,1,4,3,2,2,0,2,5,5,2,2,0,0,3,0,5,3,4,1,1,4,4,3,0,0,0,1,0,1,1,1,5,3,1,1,4,2,0,3,3,2,5,4,0,1,4,4,4,4,2,2,1,0,5,3,0,1,1,5,3,5,0,0,0,1,5,1,1,2,4,3,5,1,2,3,5,5,0,0,2,1,1,2,2,5,1,2,3,3,2,5,0,3,3,1
61,3,2,3,4,3,0,5,3,0,4,4,4,0,5,0,5,5,1,5,3,2,4,2,2,5,0,1,1,2,2,2,2,4,3,0,5,3,3,1,3,4,3,4,4,0,2,5,0,3,3,1,0,5,2,4,2,4,0,2,4,1,5,4,5,4,2,2,0,2,2,3,5,0,1,3,1,4,5,3,2,3,4,0,0,2,4,4,1,4,1,3,3,5,1,2,3,3,1,2,1
62,1,5,1,2,0,2,5,1,5,0,0,2,1,3,1,3,2,1,4,4,5,3,1,1,5,4,3,2,2,1,5,4,1,5,1,5,0,4,5,3,4,1,2,5,3,1,5,2,3,5,1,0,2,1,4,3,3,2,0,4,3,5,1,5,3,0,4,4,2,3,2,1,2,2,4,2,3,1,0,0,4,0,5,2,3,4,3,2,4,1,5,5,4,0,3,5,4,4,4,2
63,2,5,5,5,0,2,5,0,2,1,3,0,0,4,0,0,1,4,1,5,4,0,2,1,2,0,0,3,0,3,0,5,3,4,5,2,2,1,4,1,2,2,2,3,5,4,1,3,3,5,5,4,2,5,5,0,2,2,3,1,0,3,0,2,4,2,0,5,4,4,1,4,4,5,3,0,0,5,4,3,1,0,4,5,0,2,2,1,3,4,2,2,5,5,1,0,4,3,3,4
64,3,0,3,0,5,2,3,2,5,2,1,5,2,3,4,2,5,5,5,4,5,1,3,1,4,4,2,5,3,3,1,2,0,1,0,4,2,5,3,0,0,0,1,0,4,5,4,1,0,0,5,0,4,0,5,1,2,4,4,1,3,3,0,4,1,0,4,5,4,5,3,2,0,2,5,1,0,0,3,1,4,5,4,4,3,1,1,0,1,5,1,5,0,3,3,0,2,0,2,2
65,3,5,4,3,4,3,4,4,3,5,0,4,3,0,5,3,5,5,4,1,2,0,4,0,0,1,0,2,3,4,1,5,2,5,5,1,4,1,0,1,0,5,0,2,4,0,0,0,3,1,4,4,5,4,2,3,2,1,1,3,1,4,3,4,0,5,1,3,5,3,1,3,1,3,2,4,3,1,1,2,2,3,3,5,2,4,0,3,5,3,0,3,3,2,5,3,4,4,5,3
